time_iso8601,forks_cumulative
2020-02-15 00:00:00+00:00,1
2020-02-16 00:00:00+00:00,2
2020-02-18 00:00:00+00:00,3
2020-02-19 00:00:00+00:00,4
2020-02-22 00:00:00+00:00,5
2020-02-26 00:00:00+00:00,6
2020-03-15 00:00:00+00:00,7
2020-03-19 00:00:00+00:00,9
2020-04-10 00:00:00+00:00,10
2020-04-21 00:00:00+00:00,16
2020-04-22 00:00:00+00:00,24
2020-04-23 00:00:00+00:00,60
2020-04-24 00:00:00+00:00,74
2020-04-25 00:00:00+00:00,79
2020-04-26 00:00:00+00:00,83
2020-04-27 00:00:00+00:00,87
2020-04-28 00:00:00+00:00,90
2020-04-29 00:00:00+00:00,94
2020-04-30 00:00:00+00:00,96
2020-05-02 00:00:00+00:00,97
2020-05-04 00:00:00+00:00,98
2020-05-09 00:00:00+00:00,100
2020-05-11 00:00:00+00:00,101
2020-05-12 00:00:00+00:00,102
2020-05-14 00:00:00+00:00,105
2020-05-18 00:00:00+00:00,106
2020-05-19 00:00:00+00:00,107
2020-05-20 00:00:00+00:00,110
2020-05-21 00:00:00+00:00,111
2020-05-22 00:00:00+00:00,113
2020-05-23 00:00:00+00:00,114
2020-05-24 00:00:00+00:00,116
2020-05-25 00:00:00+00:00,117
2020-05-26 00:00:00+00:00,118
2020-06-02 00:00:00+00:00,120
2020-06-04 00:00:00+00:00,123
2020-06-05 00:00:00+00:00,124
2020-06-08 00:00:00+00:00,127
2020-06-11 00:00:00+00:00,128
2020-06-12 00:00:00+00:00,130
2020-06-13 00:00:00+00:00,131
2020-06-14 00:00:00+00:00,134
2020-06-16 00:00:00+00:00,135
2020-06-18 00:00:00+00:00,136
2020-06-26 00:00:00+00:00,137
2020-06-29 00:00:00+00:00,138
2020-07-02 00:00:00+00:00,139
2020-07-03 00:00:00+00:00,140
2020-07-05 00:00:00+00:00,142
2020-07-07 00:00:00+00:00,143
2020-07-08 00:00:00+00:00,145
2020-07-09 00:00:00+00:00,146
2020-07-12 00:00:00+00:00,147
2020-07-14 00:00:00+00:00,150
2020-07-15 00:00:00+00:00,151
2020-07-16 00:00:00+00:00,152
2020-07-20 00:00:00+00:00,155
2020-07-24 00:00:00+00:00,158
2020-07-28 00:00:00+00:00,159
2020-08-03 00:00:00+00:00,160
2020-08-05 00:00:00+00:00,163
2020-08-07 00:00:00+00:00,165
2020-08-08 00:00:00+00:00,166
2020-08-10 00:00:00+00:00,168
2020-08-11 00:00:00+00:00,169
2020-08-12 00:00:00+00:00,172
2020-08-13 00:00:00+00:00,173
2020-08-14 00:00:00+00:00,174
2020-08-16 00:00:00+00:00,176
2020-08-17 00:00:00+00:00,177
2020-08-22 00:00:00+00:00,178
2020-08-24 00:00:00+00:00,179
2020-08-25 00:00:00+00:00,180
2020-08-28 00:00:00+00:00,182
2020-08-30 00:00:00+00:00,183
2020-08-31 00:00:00+00:00,186
2020-09-01 00:00:00+00:00,187
2020-09-04 00:00:00+00:00,189
2020-09-08 00:00:00+00:00,191
2020-09-16 00:00:00+00:00,192
2020-09-18 00:00:00+00:00,193
2020-09-22 00:00:00+00:00,194
2020-09-30 00:00:00+00:00,195
2020-10-03 00:00:00+00:00,196
2020-10-05 00:00:00+00:00,198
2020-10-10 00:00:00+00:00,199
2020-10-11 00:00:00+00:00,200
2020-10-12 00:00:00+00:00,201
2020-10-13 00:00:00+00:00,202
2020-10-14 00:00:00+00:00,204
2020-10-26 00:00:00+00:00,205
2020-10-28 00:00:00+00:00,206
2020-10-29 00:00:00+00:00,208
2020-11-03 00:00:00+00:00,209
2020-11-06 00:00:00+00:00,210
2020-11-09 00:00:00+00:00,212
2020-11-11 00:00:00+00:00,213
2020-11-12 00:00:00+00:00,216
2020-11-13 00:00:00+00:00,218
2020-11-18 00:00:00+00:00,219
2020-11-20 00:00:00+00:00,220
2020-11-23 00:00:00+00:00,221
2020-11-24 00:00:00+00:00,222
2020-11-27 00:00:00+00:00,223
2020-11-28 00:00:00+00:00,224
2020-12-02 00:00:00+00:00,225
2020-12-03 00:00:00+00:00,229
2020-12-04 00:00:00+00:00,230
2020-12-07 00:00:00+00:00,231
2020-12-12 00:00:00+00:00,232
2020-12-13 00:00:00+00:00,233
2020-12-14 00:00:00+00:00,235
2020-12-15 00:00:00+00:00,236
2020-12-17 00:00:00+00:00,237
2020-12-23 00:00:00+00:00,238
2020-12-29 00:00:00+00:00,239
2020-12-30 00:00:00+00:00,240
2021-01-05 00:00:00+00:00,241
2021-01-06 00:00:00+00:00,243
2021-01-07 00:00:00+00:00,244
2021-01-08 00:00:00+00:00,245
2021-01-09 00:00:00+00:00,246
2021-01-10 00:00:00+00:00,247
2021-01-12 00:00:00+00:00,248
2021-01-13 00:00:00+00:00,249
2021-01-14 00:00:00+00:00,251
2021-01-19 00:00:00+00:00,252
2021-01-21 00:00:00+00:00,253
2021-01-22 00:00:00+00:00,254
2021-01-23 00:00:00+00:00,255
2021-01-24 00:00:00+00:00,256
2021-01-25 00:00:00+00:00,257
2021-01-29 00:00:00+00:00,259
2021-01-30 00:00:00+00:00,260
2021-02-01 00:00:00+00:00,261
2021-02-02 00:00:00+00:00,262
2021-02-04 00:00:00+00:00,263
2021-02-08 00:00:00+00:00,264
2021-02-09 00:00:00+00:00,265
2021-02-15 00:00:00+00:00,266
2021-02-20 00:00:00+00:00,267
2021-02-23 00:00:00+00:00,268
2021-03-02 00:00:00+00:00,269
2021-03-10 00:00:00+00:00,270
2021-03-12 00:00:00+00:00,271
2021-03-13 00:00:00+00:00,272
2021-03-14 00:00:00+00:00,273
2021-03-15 00:00:00+00:00,274
2021-03-16 00:00:00+00:00,277
2021-03-17 00:00:00+00:00,279
2021-03-18 00:00:00+00:00,281
2021-03-21 00:00:00+00:00,282
2021-03-27 00:00:00+00:00,284
2021-03-29 00:00:00+00:00,286
2021-03-31 00:00:00+00:00,289
2021-04-02 00:00:00+00:00,292
2021-04-05 00:00:00+00:00,293
2021-04-08 00:00:00+00:00,294
2021-04-13 00:00:00+00:00,295
2021-04-15 00:00:00+00:00,296
2021-04-16 00:00:00+00:00,297
2021-04-19 00:00:00+00:00,298
