time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-02-21 00:00:00+00:00,503,37,1138,174
2022-02-22 00:00:00+00:00,833,50,2149,359
2022-02-23 00:00:00+00:00,464,36,1954,361
2022-02-24 00:00:00+00:00,685,25,1721,320
2022-02-25 00:00:00+00:00,164,29,1491,286
2022-02-26 00:00:00+00:00,38,20,558,141
2022-02-27 00:00:00+00:00,50,21,649,151
2022-02-28 00:00:00+00:00,470,41,1775,357
2022-03-01 00:00:00+00:00,1016,53,2569,323
2022-03-02 00:00:00+00:00,479,39,1769,317
2022-03-03 00:00:00+00:00,222,29,1205,276
2022-03-04 00:00:00+00:00,35,23,890,234
2022-03-05 00:00:00+00:00,27,14,461,138
2022-03-06 00:00:00+00:00,28,13,500,120
2022-03-07 00:00:00+00:00,609,43,1867,338
2022-03-08 00:00:00+00:00,353,30,1400,309
2022-03-09 00:00:00+00:00,379,31,1922,358
2022-03-10 00:00:00+00:00,393,24,1973,365
2022-03-11 00:00:00+00:00,785,40,1952,287
2022-03-12 00:00:00+00:00,195,23,585,126
2022-03-13 00:00:00+00:00,109,15,493,137
2022-03-14 00:00:00+00:00,408,42,2212,343
2022-03-15 00:00:00+00:00,985,46,2538,346
2022-03-16 00:00:00+00:00,980,54,2363,382
2022-03-17 00:00:00+00:00,583,44,2025,319
2022-03-18 00:00:00+00:00,425,30,1295,287
2022-03-19 00:00:00+00:00,49,23,578,133
2022-03-20 00:00:00+00:00,82,26,659,147
2022-03-21 00:00:00+00:00,325,46,1647,324
2022-03-22 00:00:00+00:00,944,49,2380,381
2022-03-23 00:00:00+00:00,701,92,2597,422
2022-03-24 00:00:00+00:00,651,42,2451,419
2022-03-25 00:00:00+00:00,322,42,1983,313
2022-03-26 00:00:00+00:00,118,42,809,158
2022-03-27 00:00:00+00:00,63,30,801,148
2022-03-28 00:00:00+00:00,225,76,2206,388
2022-03-29 00:00:00+00:00,311,40,2329,400
2022-03-30 00:00:00+00:00,509,35,1880,359
2022-03-31 00:00:00+00:00,380,41,2327,367
2022-04-01 00:00:00+00:00,453,42,1833,302
2022-04-02 00:00:00+00:00,188,25,585,156
2022-04-03 00:00:00+00:00,41,20,612,145
2022-04-04 00:00:00+00:00,599,44,2297,338
2022-04-05 00:00:00+00:00,1364,40,2591,346
2022-04-06 00:00:00+00:00,470,41,2197,394
2022-04-07 00:00:00+00:00,702,27,2625,466
2022-04-08 00:00:00+00:00,511,36,2499,364
2022-04-09 00:00:00+00:00,126,16,592,142
2022-04-10 00:00:00+00:00,481,21,1005,172
2022-04-11 00:00:00+00:00,823,46,2930,376
2022-04-12 00:00:00+00:00,808,43,3152,387
2022-04-13 00:00:00+00:00,544,31,2214,349
2022-04-14 00:00:00+00:00,887,36,1996,355
2022-04-15 00:00:00+00:00,115,24,1007,246
2022-04-16 00:00:00+00:00,82,22,577,157
2022-04-17 00:00:00+00:00,36,20,675,176
2022-04-18 00:00:00+00:00,210,41,1184,283
2022-04-19 00:00:00+00:00,583,39,1803,408
2022-04-20 00:00:00+00:00,872,53,1727,363
2022-04-21 00:00:00+00:00,409,24,2063,398
2022-04-22 00:00:00+00:00,878,34,1591,355
