url_path,views_total,views_unique
/Project-MONAI/tutorials,3515,1331
/Project-MONAI/tutorials/tree/main/3d_segmentation,1324,527
/Project-MONAI/tutorials/blob/main/3d_segmentation/brats_segmentation_3d.ipynb,704,349
/Project-MONAI/tutorials/blob/main/3d_segmentation/spleen_segmentation_3d.ipynb,555,263
/Project-MONAI/tutorials/tree/main/2d_segmentation/torch,547,288
/Project-MONAI/tutorials/blob/main/3d_segmentation/unetr_btcv_segmentation_3d.ipynb,521,260
/Project-MONAI/tutorials/blob/main/2d_classification/mednist_tutorial.ipynb,439,272
/Project-MONAI/tutorials/blob/main/3d_segmentation/swin_unetr_btcv_segmentation_3d.ipynb,377,156
/Project-MONAI/tutorials/tree/main/3d_classification,357,174
/Project-MONAI/tutorials/issues,327,94
