time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-02-21 00:00:00+00:00,3,2,392,103
2022-02-22 00:00:00+00:00,12,10,1729,353
2022-02-23 00:00:00+00:00,24,11,1758,345
2022-02-24 00:00:00+00:00,15,8,1603,294
2022-02-25 00:00:00+00:00,5,3,1309,243
2022-02-26 00:00:00+00:00,6,4,644,126
2022-02-27 00:00:00+00:00,4,3,798,156
2022-02-28 00:00:00+00:00,10,8,1844,313
2022-03-01 00:00:00+00:00,26,14,1833,305
2022-03-02 00:00:00+00:00,21,13,1892,326
2022-03-03 00:00:00+00:00,11,8,1772,324
2022-03-04 00:00:00+00:00,7,6,1483,281
2022-03-05 00:00:00+00:00,5,4,486,110
2022-03-06 00:00:00+00:00,5,3,636,145
2022-03-07 00:00:00+00:00,19,9,1076,192
